index,instrument_id
0,BTC-BRL
1,ETH-BRL
2,USDT-BRL
3,BTC-EUR
4,ETH-EUR
5,SOL-EUR
6,DOGE-EUR
7,1INCH-EUR
8,ADA-EUR
9,AVAX-EUR
10,COMP-EUR
11,CRV-EUR
12,DOT-EUR
13,DYDX-EUR
14,EOS-EUR
15,LINK-EUR
16,LTC-EUR
17,SHIB-EUR
18,SUSHI-EUR
19,TRX-EUR
20,UNI-EUR
21,USDT-EUR
22,USDC-EUR
23,BTC-TRY
24,ETH-TRY
25,USDT-TRY
26,BTC-USDT
27,ETH-USDT
28,OKB-USDT
29,MATIC-USDT
30,XRP-USDT
31,SOL-USDT
32,DOGE-USDT
33,STRK-USDT
34,FIL-USDT
35,WLD-USDT
36,SATS-USDT
37,1INCH-USDT
38,AAVE-USDT
39,ACA-USDT
40,ACE-USDT
41,ACH-USDT
42,ADA-USDT
43,AERGO-USDT
44,AGIX-USDT
45,AGLD-USDT
46,AIDOGE-USDT
47,AKITA-USDT
48,ALCX-USDT
49,ALGO-USDT
50,ALPHA-USDT
51,ANT-USDT
52,APE-USDT
53,API3-USDT
54,APM-USDT
55,APT-USDT
56,AR-USDT
57,ARB-USDT
58,ARG-USDT
59,ARTY-USDT
60,AST-USDT
61,ASTR-USDT
62,ATOM-USDT
63,AUCTION-USDT
64,AVAX-USDT
65,AVIVE-USDT
66,AXS-USDT
67,AZY-USDT
68,BABYDOGE-USDT
69,BADGER-USDT
70,BAL-USDT
71,BAND-USDT
72,BAT-USDT
73,BCH-USDT
74,BETH-USDT
75,BICO-USDT
76,BIGTIME-USDT
77,BLOK-USDT
78,BLUR-USDT
79,BNB-USDT
80,BNT-USDT
81,BONE-USDT
82,BONK-USDT
83,BORING-USDT
84,BORA-USDT
85,BRWL-USDT
86,BSV-USDT
87,BTT-USDT
88,BZZ-USDT
89,CEEK-USDT
90,CELO-USDT
91,CEL-USDT
92,CELR-USDT
93,CETUS-USDT
94,CFG-USDT
95,CFX-USDT
96,CGL-USDT
97,CHZ-USDT
98,CITY-USDT
99,CLV-USDT
100,COMP-USDT
101,CONV-USDT
102,CORE-USDT
103,CQT-USDT
104,CRO-USDT
105,CRV-USDT
106,CSPR-USDT
107,CTC-USDT
108,CTXC-USDT
109,CVC-USDT
110,CVX-USDT
111,DAI-USDT
112,DAO-USDT
113,DCR-USDT
114,DEP-USDT
115,DGB-USDT
116,DIA-USDT
117,DMAIL-USDT
118,DORA-USDT
119,DOSE-USDT
120,DOT-USDT
121,DYDX-USDT
122,EGLD-USDT
123,ELF-USDT
124,ELON-USDT
125,EM-USDT
126,ENJ-USDT
127,ENS-USDT
128,EOS-USDT
129,ERN-USDT
130,ETC-USDT
131,ETHW-USDT
132,EURT-USDT
133,FET-USDT
134,FITFI-USDT
135,FLM-USDT
136,FLOW-USDT
137,FLOKI-USDT
138,FLR-USDT
139,FORTH-USDT
140,FRONT-USDT
141,FTM-USDT
142,FXS-USDT
143,GALA-USDT
144,GALFT-USDT
145,GAL-USDT
146,GARI-USDT
147,GAS-USDT
148,GEAR-USDT
149,GF-USDT
150,GFT-USDT
151,GHST-USDT
152,GLM-USDT
153,GLMR-USDT
154,GMT-USDT
155,GMX-USDT
156,GOAL-USDT
157,GODS-USDT
158,GOG-USDT
159,GRT-USDT
160,HBAR-USDT
161,HC-USDT
162,ICE-USDT
163,ICP-USDT
164,ICX-USDT
165,ID-USDT
166,IGU-USDT
167,ILV-USDT
168,IMX-USDT
169,INJ-USDT
170,IOST-USDT
171,IOTA-USDT
172,IQ-USDT
173,JOE-USDT
174,JPG-USDT
175,JST-USDT
176,JTO-USDT
177,JUP-USDT
178,KAN-USDT
179,KAR-USDT
180,KCAL-USDT
181,KDA-USDT
182,KINE-USDT
183,KISHU-USDT
184,KLAY-USDT
185,KNC-USDT
186,KP3R-USDT
187,KSM-USDT
188,LAMB-USDT
189,LAT-USDT
190,LBR-USDT
191,LDO-USDT
192,LEASH-USDT
193,LEO-USDT
194,LET-USDT
195,LHINU-USDT
196,LINK-USDT
197,LING-USDT
198,LITH-USDT
199,LON-USDT
200,LOOKS-USDT
201,LPT-USDT
202,LQTY-USDT
203,LRC-USDT
204,LSK-USDT
205,LTC-USDT
206,LUNC-USDT
207,LUNA-USDT
208,MAGIC-USDT
209,MANA-USDT
210,MASK-USDT
211,MDT-USDT
212,MEME-USDT
213,MENGO-USDT
214,METIS-USDT
215,MILO-USDT
216,MINA-USDT
217,MKR-USDT
218,MLN-USDT
219,MOVR-USDT
